courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
8,4464,单选题,2,在经济全球化、信息社会化条件下，国家之间的综合国力竞争趋缓。（      ）,对,错,,,B
8,4278,单选题,4,公共生活是人们在公共的领域、公有的环境、公用的场所中，彼此开放透明且相互关联的共同活动。当代社会公共生活的主要特点有(),活动范围的广泛性,交往对象的复杂性,活动方式的多样性,以上都是,D
8,4262,单选题,4,国家预防、控制、处理各种违法犯罪活动和突发灾害事故，以维护社会治安，保障社会正常的工 作和生活秩序，保护国家和人民生命财产的安全。这属于全新国家安全观中的(),文化安全,生态安全,社会公共安全,经济安全,C
8,4273,单选题,4,某餐饮企业对下列行政行为不服，其中可依法提起行政诉讼的是(),工商部门为邻近餐馆颁发《营业许可证》,城管部门在对其执法检查中损坏了部分物品,卫生部门颁布《加强餐饮服务人员健康检查的规定》,劳动部门要求所有企业必须依法与雇员签订劳动合同,B
8,58594,单选题,4,个人与社会关系中的个人是指（  ）　,在历史上起过重大作用的人物,生活在社会中的人类的个体,脱离时代抽象出来的人类共性,非具体的人，抽象的人,B
8,2502,单选题,2,个人品德不是偶然的、短暂的道德行为现象，而是在实践活动中表现出来的行为的特定倾向。,对,错,,,B
8,4511,单选题,4,一心一意、毫不利己、专门利人、无私奉献是为人民服务，顾全大局、先公后私、爱岗敬业、办事公道也是为人民服务；热心公益、助人为乐、见义勇为、扶贫济困、帮残助残是为人民服务，同事间、邻里间、师生间、同学间互相关心、互相爱护、互相帮助也是为人民服务，遵纪守法、通过诚实劳动获取正当的个人利益也还是为人民服务。这说明，为人民服务（      ）。,不能推广到全体人民中间,是人类社会普遍的道德要求,包含着社会主义道德的不同层次的要求,只是对共产党员和一切先进分子的要求,C
8,4741,单选题,4,即使在个人独处无人监督时，也要坚守自己的道德信念，对自己的言行小心谨慎，不做任何不道德的事这说的是个人在进行自我修养时，应该,   坚持“慎独”，纯洁品质,   学习榜样，积极进取,   虚心求教，勤于积累,   闭门造车，坐而论道,A
8,20607,单选题,4,"张某患有精神病, 他完全不能识别和判断自己行为的法律后果, 张某之妻丁某代其进行民事活动,在代理中, (  )。",丁某必须有张某委托授权,丁某需由单位同意和指定,丁某不需张某授权,丁某需经法院裁定,C
8,20510,单选题,4,薄熙来案件中其妻身为律师却知法犯法，设局杀人；执法的公安局长王立军得知杀人事实后不但不依法行事，反为其包庇和毁证，徇私枉法；而作为国家省部级领导人得知这些事实后，竟只采取行政手段对王立军免职处理，这说明了（  ）的重要性,学习法律,遵守法律,信仰法律,维护法律,C
8,20803,单选题,4,现阶段我国各族人民的共同理想是：（    ）,实现共产主义,共同富裕    　,　　实行一带一路战略,实现中国特色社会主义 ,D
8,5624,单选题,4,中国近代历史的起点标志是（ ）,虎门销烟,鸦片战争,洋务运动,中华民国建立,B
8,58487,单选题,4,一个健康的人，不仅要有健康的生理，而且要有健康的心理，做到身心健康。下列选项中，体现了心理健康的是（    ）。,自我评价过高,善于与别人相处,拥有强健的体魄,经常处于焦虑状态,B
8,4437,单选题,2,信念有着绝对的稳定性。（    ）,对,错,,,B
8,4677,单选题,4,道德发展的规律是,人类道德发展的历史过程与社会的意识形态发展进程大体一致,人类道德发展的历史过程与社会的文化发展进程大体一致,人类道德发展的历史过程与社会生产方式的发展进程大体一致,人类道德发展的历史过程与社会的经济发展进程大体一致,C
8,20496,单选题,4,关于大学生法治思维的培养，下面哪种说法是错误的（  ）,养成守法习惯，必须从我做起，从身边做起，从具体问题做起,大学生要积极学习法律知识，对法律知识一无所知的人，不可能形成法治思维。,参与模拟法庭，法律辩论等活动，是法学专业学生的要求，不适合其他专业的学生。,生活中要养成遇到冲突不使用武力，遇到纠纷去查找法律的习惯。,C
8,2516,单选题,2,道德通过评价等方式，指导和纠正人们的行为和实践活动，协调社会关系和人际关系，这是道德的规范功能。,对,错,,,B
8,20991,单选题,4,为人民服务体现了社会主义道德的（  ）,先进性要求与发展性要求的统一,普遍性要求与发展性要求的统一,先进性要求与广泛性要求的统一,广发性要求与特殊性要求的统一,C
8,4177,单选题,4,卢梭说：“我们之所以爱一个人，是由于我们认为那个人具有我们所尊重的品质。”这句话告诉 我们，在选择恋爱对象时要注重对方的( ),内在美,外表美,经济实力,家庭状况,A
8,20955,单选题,4,下列说法不能反映中华民族优良道德传统内容的是（,见利忘义,人而无信，不知其可也,不学礼，无以立,我欲仁，斯仁至矣,A
8,21022,单选题,4,“治国在于齐家”的思想，便说明了（  ）的重要性。,学校教育,社会教育,家庭教育,特殊教育,C
8,20835,单选题,4,实现理想的根本途径是(    )。,坚定信念，勇于创新,勇于实践，勇于创新,勇于实践，艰苦奋斗,艰苦奋斗，勤俭节约,C
8,21097,单选题,4,真正的爱国者是（   ）,爱国情感强烈的人,爱国思想深刻的人,具有爱国行为的人,爱国的情感、思想和行为一致的人,D
8,4308,单选题,4,基层人民法院及其派出法庭在审理事实清楚、权利义务关系明确、争议不大的民事案件时，可适用( ),特别程序,简易程序,督促程序,公示催告程序,B
8,20986,单选题,4,主张“兼相爱，交相利”思想的是（   ）。,孟子,孔子,荀子,墨子,D
8,20654,单选题,4,科学理想是人们在社会实践基础上，对社会历史发展客观规律的正确把握，是人的（   ）,审美需要与道德需要一致性的反映,知识水平与实践能力一致性的反映,形象思维和抽象思维一致性的反映,主观能动性与社会发展客观趋势的一致性的反映,D
8,4647,单选题,4,爱国主义是一个历史范畴，当代中国的爱国主义是中华民族爱国主义发展的一个新阶段。建设和发展中国特色社会主义是新时期爱国主义的,传统,特征,方法,主题,D
